#separator:tab
#html:false
fared	erging es
erging es	fared
exacerbates	verschlimmert
verschlimmert	exacerbates
lament	Klage
Klage	lament
respiration	Atmung
Atmung	respiration
purification	Reinigung
Reinigung	purification
noxious	schädlich
schädlich	noxious
insidious	heimtückisch
heimtückisch	insidious
adhesive	Klebstoff
Klebstoff	adhesive
unscheinbar	nondescript
nondescript	unscheinbar
Zahnrad	gear wheel
gear wheel	Zahnrad
gesprächig	talkactive
talkactive	gesprächig
to mingle	sich vermischen
sich vermischen	to mingle
immortal	unsterblich
unsterblich	immortal
derided	verspottet
verspottet	derided
adage	Sprichwort
Sprichwort	adage
craned open	aufgerissen
aufgerissen	craned open
personify	personifizieren
personifizieren	personify
Gummistiefel	rubber boots
rubber boots	Gummistiefel
to weep	weinen
weinen	to weep
Schimmel	mold
mold	Schimmel
esteem	Wertschätzung
Wertschätzung	esteem
aufeinanderfolgend	consecutively
consecutively	aufeinanderfolgend
to plunder	plündern
plündern	to plunder
profuse	stark/üppig
stark/üppig	profuse
Klettersteig	via ferrata
via ferrata	Klettersteig
solidify	verfestigen
verfestigen	solidify
fate	Schicksal
Schicksal	fate
to kink	knicken
knicken	to kink
to veer	abbiegen/ausscheren
abbiegen/ausscheren	to veer
glaring	grell
grell	glaring
circumfence	Umfang
Umfang	circumfence
susceptible	anfällig
anfällig	susceptible
tassel	Quaste
Quaste	tassel
damp	feucht
feucht	damp
aftereffects	Nachwirkungen
Nachwirkungen	aftereffects
übertreiben	to exaggerate
to exaggerate	übertreiben
Berufsausbildung	vocational training
vocational training	Berufsausbildung
sty	Stall
Stall	sty
contemplate	überlegen/erwägen
überlegen/erwägen	contemplate
to debilitate	entkräften/schwächen
entkräften/schwächen	to debilitate
engorge	anschwellen
anschwellen	engorge
dislodging	verdrängen
verdrängen	dislodging
mocked	verspottet
verspottet	mocked
harped on	weiter harren
weiter harren	harped on
prodding	anstupsen
anstupsen	prodding
to gauge	messen
messen	to gauge
to dispute	streiten
streiten	to dispute
ailment	das Leiden
das Leiden	ailment
cure	Heilung
Heilung	cure
horrendous	schrecklich
schrecklich	horrendous
debris	Trümmer
Trümmer	debris
clingy	anhänglich
anhänglich	clingy
acquaintance	Bekanntschaft
Bekanntschaft	acquaintance
Ferris wheel	Riesenrad
Riesenrad	Ferris wheel
mammels	Säugetiere
Säugetiere	mammels
limp	schlaff
schlaff	limp
jaws	Kiefer
Kiefer	jaws
suspended	ausgesetzt
ausgesetzt	suspended
pearl	Perle
Perle	pearl
Füßgelenk umknicken	twisted the ankle
twisted the ankle	Füßgelenk umknicken
contagious	ansteckend
ansteckend	contagious
smurfs	Schlümpfe
Schlümpfe	smurfs
Blätterteig	puff pastry
puff pastry	Blätterteig
huff	schnaufen
schnaufen	huff
irritable	reizbar
reizbar	irritable
to crackle	knistern
knistern	to crackle
caw	krächzen
krächzen	caw
Schlagsahne	whipped cream
whipped cream	Schlagsahne
hoarder	Hamsterer
Hamsterer	hoarder
clutter	Unordnung
Unordnung	clutter
cluttered	überladen
überladen	cluttered
compulsive	zwanghaft
zwanghaft	compulsive
resurgence	Wiederaufleben
Wiederaufleben	resurgence
reverberate	nachhallen
nachhallen	reverberate
lutes	Lauten
Lauten	lutes
apeshit	Affenscheiße
Affenscheiße	apeshit
distress	Not
Not	distress
lethal	tödlich
tödlich	lethal
lulled	eingelullt
eingelullt	lulled
precarious	prekär
prekär	precarious
cuffs	Manschetten
Manschetten	cuffs
tongs	Zange
Zange	tongs
ladle	Kelle
Kelle	ladle
verspielt	playfull
playfull	verspielt
to elaborate	ausarbeiten
ausarbeiten	to elaborate
to deduce	folgern
folgern	to deduce
disperse	zerstreuen
zerstreuen	disperse
Hoden	testicles
testicles	Hoden
desolve	auflösen
auflösen	desolve
aufstoßen	to burp
to burp	aufstoßen
spießig	stuffy
stuffy	spießig
Zuwendung	affection
affection	Zuwendung
jmd hinhalten	stall someone
stall someone	jmd hinhalten
etwas enthüllen	to reveil sth.
to reveil sth.	etwas enthüllen
prevalence	Häufigkeit
Häufigkeit	prevalence
ergründen	fathomed
fathomed	ergründen
nachteilig	disadvantageous
disadvantageous	nachteilig
Wahlkampf	election campaign
election campaign	Wahlkampf
Gips	plaster
plaster	Gips
Gips am arm	a cast
a cast	Gips am arm
zappeln	to fidget
to fidget	zappeln
Aufsichtsperson	inviligator
inviligator	Aufsichtsperson
faszinierend	intriguing
intriguing	faszinierend
jmd lobel	to praise someone
to praise someone	jmd lobel
Verräter	traitor
traitor	Verräter
herausstechen	stand out
stand out	herausstechen
provozieren	provoke
provoke	provozieren
etwas herunterspielen	to downplay sth.
to downplay sth.	etwas herunterspielen
Glaubwürdigkeit	credibility
credibility	Glaubwürdigkeit
tiefgreifend	profound
profound	tiefgreifend
Flugbahn	trajectory
trajectory	Flugbahn
zurückweisen	dismiss
dismiss	zurückweisen
